packet_id,year,accession,ticker,submission_url,item4_sha256,human_specific_active_intent,human_representative_sentence,human_aggregate_ownership_pct_or_unresolved,human_notes
AO13D-011,2010,0001193125-10-213184,KSP,https://www.sec.gov/Archives/edgar/data/1178575/0001193125-10-213184.txt,dfdff37becf81bf58765910a3eab5477bbf3c119ef44dd6ba52186042b302f46,,,,
AO13D-012,2017,0001607062-17-000446,ORGS,https://www.sec.gov/Archives/edgar/data/1460602/0001607062-17-000446.txt,6d6272b2b48ac9c655114673b959a76302f09dc8b8543e80b8a1530e039a18bb,,,,
AO13D-013,2021,0001104659-21-031808,INZY,https://www.sec.gov/Archives/edgar/data/1680200/0001104659-21-031808.txt,2752ca0360ef14893187d463e1b506b7a635a51045295806ce7cae87d4232f23,,,,
AO13D-014,2011,0000898432-11-000979,ASTI,https://www.sec.gov/Archives/edgar/data/1350102/0000898432-11-000979.txt,90c5e2db080f9d690f7fe5ff1058f06b891763003fe693b458eeeaa78a5c3cd0,,,,
AO13D-015,2013,0001135428-13-000091,SEH,https://www.sec.gov/Archives/edgar/data/77597/0001135428-13-000091.txt,,,,,
AO13D-016,2014,0001193125-14-084655,STRS,https://www.sec.gov/Archives/edgar/data/885508/0001193125-14-084655.txt,bdfbaa1357f868b682a8d87c616129c784e63bcd5adf1d80bd2b0dbdf800e451,,,,
AO13D-017,2010,0000950142-10-000581,OPCH,https://www.sec.gov/Archives/edgar/data/1014739/0000950142-10-000581.txt,82b7a5bc975ba77f356eb97ac09bde86c816163fc8ef33e0249033fa16bbe894,,,,
AO13D-018,2015,0001487952-15-000014,VPG,https://www.sec.gov/Archives/edgar/data/1228006/0001487952-15-000014.txt,,,,,
AO13D-019,2025,0001213900-25-090272,RGR,https://www.sec.gov/Archives/edgar/data/95029/0001213900-25-090272.txt,27e72dcc15e14923947f716a7e36453ab8f64472c6d2a2756bfd561cc38a28de,,,,
AO13D-020,2025,0001731122-25-000604,WGHTQ,https://www.sec.gov/Archives/edgar/data/105319/0001731122-25-000604.txt,878fd9fcc647c0d46228a31d84d0f3ba48d70b6b84f060892eee6c9f3c6dcdae,,,,
AO13D-021,2018,0000899681-18-000080,ROAN,https://www.sec.gov/Archives/edgar/data/1326428/0000899681-18-000080.txt,99364c78460f6f620211b0a35293650ebad5f7a17d1c1d630fa8e0d1a7a385f8,,,,
AO13D-022,2014,0001427196-14-000005,BODY1,https://www.sec.gov/Archives/edgar/data/1379246/0001427196-14-000005.txt,4aa8e85af857b7d0e9f3e65bc21ebcb185b0b45d1c7af54bea50eb698e208804,,,,
